rank,cr,ct,br,bt,ch,bh,crv,ctv,bv,zt,xt,xcp,xcg,ARw,ARh,PV,CP,ME,dec,pouso,atrim,perfil_asa,perfil_ev
0,0.5186,0.1286,0.6,0.5625000000000001,0.273,0.392,0.287,0.259,0.1,0.231,0.685,0.105,0.12980751816214467,5.682198930177738,2.871794871794872,4.0,13.600000000000001,0.10514063241166517,49.990134769352416,90.5536460486966,7.48653,Profile_2,EH_3
1,0.5186,0.1286,0.6,0.5625000000000001,0.273,0.392,0.287,0.259,0.1,0.231,0.685,0.105,0.12980751816214467,5.682198930177738,2.871794871794872,4.0,13.600000000000001,0.10514063241166517,49.990134769352416,90.5536460486966,7.48653,Profile_2,EH_3
2,0.5186,0.1286,0.6,0.5625000000000001,0.273,0.392,0.287,0.259,0.1,0.231,0.685,0.105,0.12980751816214467,5.682198930177738,2.871794871794872,4.0,13.600000000000001,0.10514063241166517,49.990134769352416,90.5536460486966,7.48653,Profile_2,EH_3
3,0.5186,0.1286,0.6,0.5625000000000001,0.273,0.392,0.287,0.259,0.1,0.231,0.685,0.105,0.12980751816214467,5.682198930177738,2.871794871794872,4.0,13.600000000000001,0.10514063241166517,49.990134769352416,90.5536460486966,7.48653,Profile_2,EH_3
4,0.5186,0.1286,0.6,0.5625000000000001,0.273,0.392,0.287,0.259,0.1,0.231,0.685,0.105,0.12980751816214467,5.682198930177738,2.871794871794872,4.0,13.600000000000001,0.10514063241166517,49.990134769352416,90.5536460486966,7.48653,Profile_2,EH_3
5,0.5186,0.1286,0.6,0.5625000000000001,0.273,0.392,0.287,0.259,0.1,0.231,0.685,0.105,0.12980751816214467,5.682198930177738,2.871794871794872,4.0,13.600000000000001,0.10514063241166517,49.990134769352416,90.5536460486966,7.48653,Profile_2,EH_3
6,0.5186,0.1286,0.6,0.5625000000000001,0.273,0.392,0.287,0.259,0.1,0.231,0.685,0.105,0.12980751816214467,5.682198930177738,2.871794871794872,4.0,13.600000000000001,0.10514063241166517,49.990134769352416,90.5536460486966,7.48653,Profile_2,EH_3
7,0.5186,0.1286,0.6,0.5625000000000001,0.273,0.392,0.287,0.259,0.1,0.231,0.685,0.105,0.12980751816214467,5.682198930177738,2.871794871794872,4.0,13.600000000000001,0.10514063241166517,49.990134769352416,90.5536460486966,7.48653,Profile_2,EH_3
8,0.5186,0.1286,0.6,0.5625000000000001,0.273,0.392,0.287,0.259,0.1,0.231,0.685,0.105,0.12980751816214467,5.682198930177738,2.871794871794872,4.0,13.600000000000001,0.10514063241166517,49.990134769352416,90.5536460486966,7.48653,Profile_2,EH_3
9,0.5186,0.1286,0.6,0.5625000000000001,0.273,0.392,0.287,0.259,0.1,0.231,0.685,0.105,0.12980751816214467,5.682198930177738,2.871794871794872,4.0,13.600000000000001,0.10514063241166517,49.990134769352416,90.5536460486966,7.48653,Profile_2,EH_3
